"codigo";"Marca";"descripcion";"cantidad";"precio"
"206";"(Ref: 454703)";"St. Ives";"Crema Corporal Humectación Profunda Botella";"532 ml";"$5.850"
"207";"(Ref: 454699)";"St. Ives";"Crema Colágeno y Elastina Botella";"532 ml";"$5.850"
"208";"(Ref: 672667)";"Nivea Face";"Set Hidratante Día y Noche";"1 Un";"$5.890"
"209";"(Ref: 534442)";"Nivea";"Crema Reafirmante Frasco";"400 cc";"$5.920"
"210";"(Ref: 252597)";"Pond's";"Crema Bio-Hydratante Pote";"100 g";"$5.990"
"211";"(Ref: 671750)";"Nivea";"Pack Mix It (3 Cremas)";"1 Un";"$5.990"
"212";"(Ref: 250761)";"Pond's";"Crema Removedora de Maquillaje Frasco";"100 g";"$5.990"
"213";"(Ref: 659485)";"Pond's";"Crema Clarant B3";"100 g";"$5.990"
"214";"(Ref: 577306)";"Neutrogena";"Pack Cremas de Mano con Perfume Original";"112 g";"$5.990"
"215";"(Ref: 622833)";"Lubriderm";"Crema Corporal con Protección Solar UV-15";"400 ml";"$6.090"
"216";"(Ref: 622976)";"Lubriderm";"Crema Reparación Intensiva";"400 ml";"$6.090"
"217";"(Ref: 622700)";"Nivea";"Crema Corporal Reafirmante Q10 Energy+";"400 ml";"$6.190"
"218";"(Ref: 549146)";"Nivea";"Crema Corporal Piernas Relajadas Modeladoras con Q10 Botella";"400 ml";"$6.190"
"219";"(Ref: 549147)";"Nivea";"Crema Corporal Piernas Relajadas Anti-Celulitis con Q10 Botella";"400 ml";"$6.190"
"220";"(Ref: 625611)";"Skin Naturals";"Agua Micelar En Óleo Skin Active";"400 ml";"$6.190"
"221";"(Ref: 606564)";"Cicatricure";"Crema de Día 5 Beneficios Beauty Care";"50 g";"$6.390"
"222";"(Ref: 593092)";"Lubriderm";"Crema Corporal Protección Solar UV-15 Frasco";"750 ml";"$6.650"
"223";"(Ref: 603234)";"Loreal";"Revitalift Cica + Repair FPS20 Crema Día";"60 ml";"$6.950"
"224";"(Ref: 671521)";"Simmondsia";"Aceite de Jojoba Orgánico Antiaging";"30 ml";"$6.990"
"225";"(Ref: 646829)";"Aveeno";"Crema Corporal Lavanda";"354 ml";"$6.990"
"226";"(Ref: 559710)";"Petrizzio";"Crema Facial Tratamiento Día + Noche Age Prevent";"";"$6.990"
"227";"(Ref: 663193)";"Burt's Bees";"Toallitas Limpiadoras con Extracto de Pepino y Salvia";"30 Un";"$7.490"
"228";"(Ref: 659482)";"Loreal";"Agua Micelada para Piel Mixta";"400 ml";"$7.490"
"229";"(Ref: 663194)";"Burt's Bees";"Toallitas Limpiadoras con Extracto de Pomelo Rosado";"30 Un";"$7.490"
"230";"(Ref: 625597)";"Neutrogena";"Crema Contorno de Ojos Hydro Boost Water Gel";"15 g";"$7.550"
"231";"(Ref: 691350)";"Neutrogena";"Hidratante Corporal Hydroboost";"400 ml";"$7.690"
"232";"(Ref: 659319)";"Lubriderm";"Crema Corporal Etapa Prevención FPS30";"750 ml";"$7.690"
"233";"(Ref: 659320)";"Lubriderm";"Crema Corporal Etapa Revitalización";"750 ml";"$7.690"
"234";"(Ref: 691351)";"Neutrogena";"Hidratante Corporal Hydroboost";"200 ml";"$7.690"
"235";"(Ref: 659321)";"Lubriderm";"Crema Corporal Etapa Restauración";"750 ml";"$7.690"
"236";"(Ref: 254048)";"Petrizzio";"Crema Facial con Baba de Caracol Caja";"50 g";"$7.790"
"237";"(Ref: 625596)";"Neutrogena";"Crema Facial Hydro Boost Water Gel";"50 g";"$7.790"
"238";"(Ref: 646828)";"Neutrogena";"Crema Facial Hydro Boost Water Gel FPS 55";"55 g";"$7.890"
"239";"(Ref: 492687)";"Petrizzio";"Crema Facial Tratamiento Día + Noche Hyaluronic Effect";"";"$7.990"
"240";"(Ref: 559711)";"Petrizzio";"Crema Facial Tratamiento Día + Noche Antiage Pro";"";"$7.990"
"241";"(Ref: 670363)";"Loreal";"Mascarilla Detox de Arcilla";"40 g";"$7.990"
"242";"(Ref: 250677)";"Nivea";"Crema Contorno de Ojos Antiarrugas Q10 Plus Caja";"15 g";"$7.990"
"243";"(Ref: 670362)";"Loreal";"Mascarilla Purificante de Arcilla";"40 g";"$7.990"
"244";"(Ref: 484920)";"Loreal";"Crema Facial RevitaLift Día Pote";"220 g";"$8.590"
"245";"(Ref: 484919)";"Loreal";"Crema Facial RevitaLift FPS 30 Noche Pote";"220 g";"$8.590"
"246";"(Ref: 479807)";"Loreal";"Crema Facial RevitaLift FPS 30 Día Pote";"1 Un";"$8.590"
"247";"(Ref: 592683)";"Nivea";"Crema Facial de Noche Anti-Age Frasco";"50 ml";"$8.850"
"248";"(Ref: 592682)";"Nivea";"Crema Facial de Día Anti-Age FPS 30 Frasco";"50 ml";"$8.850"
"249";"(Ref: 671518)";"Dermo Expertise";"Crema Facial Hidratante Revitalift Matificante";"50 ml";"$8.990"
"250";"(Ref: 691286)";"Loreal";"Crema de Noche Ácido Hialurónico";"50 ml";"$8.990"
"251";"(Ref: 691285)";"Loreal";"Crema de Día Ácido Hialurónico";"50 ml";"$8.990"
"252";"(Ref: 691287)";"Loreal";"Contorno de Ojos Ácido Hialurónico";"15 ml";"$8.990"
"253";"(Ref: 578678)";"Nivea";"Gel-Crema Good-Bye Celulitis Q10 Plus Pomo";"75 ml";"$9.790"
"254";"(Ref: 659491)";"Nivea";"Crema Facial de Día Q10 Antiarrugas + Energizante";"50 ml";"$10.990"
