"codigo";"Marca";"descripcion";"cantidad";"precio"
"193";"(Ref: 246746)";"Nestlé";"Chocolate de Leche sin Azúcar con Almendras Sahne Nuss Barra";"100 g";"$2.350"
"194";"(Ref: 621908)";"Emco";"Barras de Granola y Chocolate Libre de Gluten (5 Un)";"124 g";"$2.390"
"195";"(Ref: 621907)";"Emco";"Barras de Granola, Frutas y Almendras Libre de Gluten (5 Un)";"140 g";"$2.390"
"196";"(Ref: 252700)";"Afe";"Jugo Líquido Sabor Ciruela Botella 1 L";"1 L";"$2.450"
"197";"(Ref: 655607)";"Nature's Charm";"Crema para Batir de Coco";"400 g";"$2.490"
"198";"(Ref: 480115)";"Nutrisa";"Galletón de Arroz Mix Berries 5 Un) Bolsa";"175 g";"$2.520"
"199";"(Ref: 252276)";"Noglut";"Harina de Arroz, Maíz y Mandioca Bolsa";"700 g";"$2.590"
"200";"(Ref: 252851)";"Nutra Food";"Galleta sin Azúcar Sabor Naranja Caja";"210 g";"$2.650"
"201";"(Ref: 638974)";"Afe";"Jugo Líquido Sabor Manzana Orgánico (Botella 1 L) 1 L";"1 L";"$2.850"
"202";"(Ref: 621911)";"Rapunzel";"Chocolate Nirvana Orgánico 100 g";"100 g";"$2.890"
"203";"(Ref: 655464)";"Rapunzel";"Chocolate Vegan";"100 g";"$2.890"
"204";"(Ref: 655611)";"Nakd";"Barra Berry Bliss (Caja 4 Un)";"120 g";"$2.990"
"205";"(Ref: 655610)";"Nakd";"Barra Apple Danish (Caja 4 Un)";"120 g";"$2.990"
"206";"(Ref: 655609)";"Nakd";"Barra Berry Delight (Caja 4 Un)";"120 g";"$2.990"
"207";"(Ref: 480117)";"Santiveri";"Galleta Rellena Sabor Vainilla sin Gluten Bolsa";"150 g";"$3.050"
"208";"(Ref: 655462)";"Gullón";"Galletas Choco Chip - Bio Orgánico 250 g";"250 g";"$3.090"
"209";"(Ref: 504376)";"Santiveri";"Magdalenas Chips Bolsa";"170 g";"$3.150"
"210";"(Ref: 255399)";"Ecovida";"Cereal de Quínoa Bolsa";"400 g";"$3.190"
"211";"(Ref: 657399)";"Bob's Red Mill";"Mezcla para Pizzas Libre Gluten";"453 g";"$3.200"
"212";"(Ref: 670239)";"Ecovida";"Barras de cereal quinola Cacao";"8 Un de 30 g";"$3.490"
"213";"(Ref: 670240)";"Ecovida";"Barras de cereal quinola Berries";"8 Un de 30 g";"$3.490"
"214";"(Ref: 621909)";"Emco";"Granola con Frutis Secos Libre de Gluten";"340 g";"$3.490"
"215";"(Ref: 583745)";"Noglut";"Cereales Cacao y Miel Sin Gluten";"250 g";"$3.490"
"216";"(Ref: 576921)";"Tagatesse";"Damhert Tagatesse Sticks";"50 Un de 2,5 g";"$3.590"
"217";"(Ref: 265292)";"Mi Tierra";"Semilla de Chia Bolsa";"175 g";"$3.810"
"218";"(Ref: 583744)";"Noglut";"Pre Mezcla de Pan sin Gluten Bolsa";"500 g";"$4.290"
"219";"(Ref: 315879)";"Schar";"Grissini Gluten y Lactosa Free";"150 g";"$4.290"
"220";"(Ref: 315885)";"Schar";"Crackers Gluten y Lactosa Free";"210 g";"$4.550"
"221";"(Ref: 529697)";"Snack Adventure";"Brownie Sin Gluten";"320 g";"$4.590"
"222";"(Ref: 621905)";"Bob's Red Mill";"Mezcla para Panqueques Libre Gluten";"623 g";"$4.790"
"223";"(Ref: 399768)";"Schar";"Harina para Pan Gluten y Lactosa Free";"1 Kg";"$4.790"
"224";"(Ref: 399765)";"Schar";"Harina para Hacer Dulces Gluten y Lactosa Free";"1 Kg";"$4.790"
"225";"(Ref: 503905)";"Terrium";"Alimento de Arroz en Polvo";"300 g";"$5.890"
"226";"(Ref: 459944)";"Estrella Damm";"Pack Cerveza sin Gluten Botella";"4 Un";"$5.990"
"227";"(Ref: 538284)";"Bob's Red Mill";"Mezcla para Hacer Pan Libre de Gluten Bolsa";"453 g";"$5.991"
"228";"(Ref: 264083)";"Malloa";"Salsa de Tomates Italiana";"6 Un (200 g c/u)";"$2.130"
"229";"(Ref: 430302)";"Carozzi";"Pack 3 Spaghetti + 1 Salsa de Tomates Pomarola";"";"$1.990"
"230";"(Ref: 293680)";"Carozzi";"Fideos Espirales Bolsa";"400 g";"$690"
"231";"(Ref: 264222)";"Talliani";"Fideos Spaghetti 5 con Huevos Frescos Bolsa";"400 g";"$700"
"232";"(Ref: 286761)";"Carozzi";"Pasta Vitaminizada Spaghetti 5 Bolsa";"400 g";"$690"
"233";"(Ref: 405010)";"Maggi";"Salsa de Tomate Tuco Carne Lata";"245 g";"$950"
"234";"(Ref: 311058)";"Pomarola";"Salsa tomate tradicional";"6 Un (200 g c/u)";"$2.190"
"235";"(Ref: 286741)";"Carozzi";"Ravioli Carne Bolsa";"400 g";"$1.250"
"236";"(Ref: 286862)";"Carozzi";"Pasta Vitaminizada Tallarín 87 Bolsa";"400 g";"$690"
"237";"(Ref: 264194)";"Talliani";"Fideos Spirali con Huevos Frescos Bolsa";"400 g";"$700"
"238";"(Ref: 260879)";"Lucchetti";"Fideos Spaghetti 5 Bolsa";"400 g";"$560"
"239";"(Ref: 264062)";"Lider";"Pack Salsa de Tomates Italiana";"6 Doypack 200 g c/u";"$1.390"
"240";"(Ref: 286090)";"Lucchetti";"Fideos Espirales 56 Bolsa";"400 g";"$560"
"241";"(Ref: 259514)";"Carozzi";"Salsa de Tomates Toscana Boloñesa Doypack";"200 g";"$540"
"242";"(Ref: 264232)";"Talliani";"Fideos Tallarines 77 con Huevos Frescos Bolsa";"400 g";"$700"
"243";"(Ref: 293661)";"Carozzi";"Fideos Cabellos de Ángel Bolsa";"400 g";"$690"
"244";"(Ref: 294204)";"Carozzi";"Fideos Caracoquesos Caja";"296 g";"$1.051"
"245";"(Ref: 264205)";"Talliani";"Fideos Farfalle con Huevos Frescos Bolsa";"400 g";"$700"
"246";"(Ref: 454609)";"Great Value";"Salsa Tomate-Cebolla-Ajo Frasco";"680 g";"$1.500"
"247";"(Ref: 264212)";"Talliani";"Fideos Rigati con Huevos Frescos Bolsa";"400 g";"$700"
"248";"(Ref: 577718)";"Lucchetti";"Espirales Integrales Bolsa";"400 g";"$660"
"249";"(Ref: 260803)";"Lucchetti";"Fideos Corbatas Bolsa";"400 g";"$560"
"250";"(Ref: 347040)";"Lucchetti";"Lasaña Clásica Precocida Caja";"360 g";"$1.050"
"251";"(Ref: 454610)";"Great Value";"Salsa de Tomates Jardín Italiano Frasco";"680 g";"$1.500"
"252";"(Ref: 293379)";"Pomarola";"Salsa de Tomate Italiana Bolsa";"200 g";"$430"
"253";"(Ref: 454612)";"Great Value";"Salsa Tradicional Frasco";"680 g";"$1.500"
"254";"(Ref: 260874)";"Lucchetti";"Fideos Espirales Trisabor Bolsa";"400 g";"$640"
"255";"(Ref: 545268)";"Malloa";"Salsa de Tomate Italiana (4 Un de 200 g c/u)";"800 g";"$1.440"
