"codigo";"Marca";"descripcion";"cantidad";"precio"
"157";"(Ref: 449404)";"Super Pollo";"Trutro Entero de Pollo Bolsa";"2 Kg";"$4.590"
"158";"(Ref: 464013)";"Ariztía";"Filetillos de Pechuga de Pollo Caja";"830 g";"$3.190"
"159";"(Ref: 613674)";"Ariztía";"Filetitos de Pollo IQF";"650 g";"$2.390"
"160";"(Ref: 450124)";"Super Pollo";"Pollo Entero";"2,5 Kg";"$3.781"
"161";"(Ref: 669645)";"Super Pollo";"Pechuga Entera de Pollo";"1 Kg";"$2.190"
"162";"(Ref: 554834)";"Ariztía";"Trutros Deshuesados de Pollo Bolsa";"1 Kg";"$2.490"
"163";"(Ref: 448274)";"Ariztía";"Trutro Combinado de Pollo";"800 g";"$1.592"
"164";"(Ref: 553940)";"Seara";"Pechuga de Pollo con Hueso y Piel Bolsa";"2 Kg";"$4.190"
"165";"(Ref: 331175)";"Granja Tres Arroyos";"Trutro Corto de Pollo IQF Bolsa";"800 g";"$2.490"
"166";"(Ref: 608169)";"Super Pollo";"Trutro Ala Barbecue";"750 g";"$3.990"
"167";"(Ref: 464089)";"Ariztía";"Trutro Corto Marinado";"700 g";"$1.393"
"168";"(Ref: 475347)";"Granja Tres Arroyos";"Pollo Entero Bolsa";"2,1 Kg";"$3.990"
"169";"(Ref: 618997)";"Granja Tres Arroyos";"Trutro Corto";"1600 g";"$3.990"
"170";"(Ref: 464177)";"Super Pollo";"Trutro Largo Pollo Marinado";"700 g";"$1.813"
"171";"(Ref: 543514)";"Super Pollo";"Pechuga Pollo Deshuesada";"780 g";"$4.390"
"172";"(Ref: 553939)";"Seara";"Trutro Largo de Pollo Bolsa";"800 g";"$1.690"
"173";"(Ref: 553934)";"Seara";"Trutro de Ala de Pollo Congelado Bolsa";"1 Kg";"$2.990"
"174";"(Ref: 331176)";"Granja Tres Arroyos";"Trutro Largo de Pollo Bolsa";"800 g";"$2.690"
"175";"(Ref: 590490)";"Super Pollo";"Trutro Corto Trozado Marinado";"700 g";"$1.813"
"176";"(Ref: 608172)";"Super Pollo";"Trutro Ala Chilenas";"750 g";"$3.990"
"177";"(Ref: 608187)";"Super Pollo";"Trutro Entero Deshuesado";"1 Kg";"$4.690"
"178";"(Ref: 449407)";"Super Pollo";"Trutro Ala de Pollo Bolsa";"800 g";"$3.290"
"179";"(Ref: 672347)";"Argentina";"Tiritas Pechuga Pollo";"800 g";"$3.890"
"180";"(Ref: 618996)";"Granja Tres Arroyos";"Trutro Largo de Pollo";"1600 g";"$3.990"
"181";"(Ref: 464094)";"Ariztía";"Pollo Entero Bolsa";"1,8 Kg";"$3.582"
"182";"(Ref: 608183)";"Super Pollo";"Trutro de Pollo Entero Deshuesado Chileno Bandeja";"1 Kg";"$4.690"
"183";"(Ref: 464088)";"Ariztía";"Trutro Largo Marinado";"1 Kg";"$1.990"
"184";"(Ref: 543518)";"Super Pollo";"Trutro Combinado Fresco";"900 g";"$2.790"
"185";"(Ref: 595106)";"Ariztía";"Trutro Corto de Pollo";"700 g";"$2.023"
"186";"(Ref: 449991)";"Super Pollo ";"Trutro Combinado De Pollo";"1 Kg";"$2.590"
"187";"(Ref: 581440)";"Granja Tres Arroyos";"Filetitos de Pollo Congelados";"830 g";"$2.990"
"188";"(Ref: 675173)";"Ariztía";"Trutro ala Pollo";"750 g";"$3.190"
"189";"(Ref: 317547)";"Ariztía";"Trutro Ala Pollo Barbecue";"750 g";"$3.190"
"190";"(Ref: 308527)";"Ariztía";"Trutro Ala Pollo Sureña";"750 g";"$3.190"
"191";"(Ref: 672346)";"Argentina";"Cubos Pechuga Pollo";"800 g";"$3.490"
"192";"(Ref: 463951)";"Ariztía";"Trutro Corto de Pollo Parrillero Marinado";"1 Kg";"$3.590"
"193";"(Ref: 309640)";"Ariztía";"Trutro Ala Pollo";"750 g";"$3.690"
"194";"(Ref: 616050)";"Ariztía";"Pollo Entero con Menudencias";"1 Kg";"$3.980"
"195";"(Ref: 608175)";"Super Pollo";"Trutro Ala Tex Mex";"750 g";"$3.990"
"196";"(Ref: 450234)";"Argentina";"Pollo Entero Congelado";"1 Kg";"$4.599"
"197";"(Ref: 608177)";"Super Pollo";"Trutro Entero Deshuesado al Orégano de Pollo Caja";"1 Kg";"$4.890"
"198";"(Ref: 608180)";"Super Pollo";"Trutro Deshuesado Entero ParriYa Sabor Campesino";"1 Kg";"$4.890"
"199";"(Ref: 618999)";"Granja Tres Arroyos";"Pechuga De Pollo";"1.6 Kg";"$5.590"
"200";"(Ref: 398826)";"Sopraval";"Bistec de Pechuga de Pavo IQF Display";"700 g";"$5.590"
"201";"(Ref: 463969)";"Sopraval";"Carne Molida Pavo Trutro";"470 gr";"$3.390"
