"codigo";"Marca";"descripcion";"cantidad";"precio"
"167";"(Ref: 284834)";"Ajo";"Ajo Malla";"6 Un";"$2.090"
"168";"(Ref: 654210)";"Ensalada";"Mix Surtido";"150 gr";"$2.090"
"169";"(Ref: 280728)";"Chalotas";"Chalotas Malla";"250 g";"$2.090"
"170";"(Ref: 283910)";"Ensalada";"Ensalada Repollo Zanahoria";"600 g";"$2.150"
"171";"(Ref: 284497)";"Ensalada";"Apio Media Luna Bolsa";"420 g";"$2.150"
"172";"(Ref: 284062)";"Ensalada";"Ensalada Lechuga";"600 g";"$2.250"
"173";"(Ref: 458691)";"Champiñones";"Champiñon Shitake";"100 g";"$2.290"
"174";"(Ref: 284014)";"Ensalada";"Ensalada Toscana Bolsa";"600 g";"$2.350"
"175";"(Ref: 471953)";"Ají";"Ají Rocoto Bandeja";"4 Un";"$2.390"
"176";"(Ref: 311313)";"Ensalada";"Ensalada Summer mix Caja";"150 g";"$2.450"
"177";"(Ref: 311838)";"Ensalada";"Ensalada Spring mix Caja";"150 g";"$2.450"
"178";"(Ref: 283872)";"Cochayuyo";"Cochayuyo Bolsa";"1 Un";"$2.590"
"179";"(Ref: 281504)";"Champiñones";"Champiñones Portobello Royal";"400 g";"$2.590"
"180";"(Ref: 428789)";"Tomates";"Fresh Cut Tomate Cocktail Caja";"500 g";"$2.590"
"181";"(Ref: 375482)";"Tomates";"Tomate Triple Tasty Cocktail";"500 g";"$2.690"
"182";"(Ref: 281852)";"Apio";"Apio Mini Varitas Dole Bolsa";"400 g";"$2.750"
"183";"(Ref: 390630)";"Espinaca";"Espinaca Baby Pote";"140 g";"$2.750"
"184";"(Ref: 299280)";"Ají";"Ají Naranjo Bandeja 200 g";"1 Un";"$2.890"
"185";"(Ref: 283344)";"Endibia";"Endibia Bandeja";"500 g";"$3.190"
"186";"(Ref: 610899)";"Ajo";"Ajo Negro Unidad";"2 Un";"$3.990"
"187";"(Ref: 348624)";"Coctel Dole";"Coctel Dole Bandeja";"1 Un";"$4.290"
"188";"(Ref: 613911)";"Tomates";"Tomates Cocktail Pote Disney Caja";"125 gr";"$750"
"189";"(Ref: 614222)";"Disney";"Pack Colacion Frutos Secos Disney";"250 g";"$2.390"
"190";"(Ref: 613981)";"Disney";"Manzana Fuji";"550 g";"$590"
"191";"(Ref: 614219)";"Disney";"Maní y Pasas";"200 g";"$990"
"192";"(Ref: 613996)";"Disney";"Frutillas Pote Disney";"180 g";"$1.190"
"193";"(Ref: 614221)";"Disney";"Mix Nuez, Pasas, Semillas Calabaza";"200 g";"$1.890"
