"codigo";"Marca";"descripcion";"cantidad";"precio"
"223";"(Ref: 650485)";"Haus";"Piso Baño Lima";"1 Un";"$2.990"
"224";"(Ref: 650488)";"Haus";"Piso Baño Gris";"1 Un";"$2.990"
"225";"(Ref: 650486)";"Haus";"Piso Baño Porcelana";"1 Un";"$2.990"
"226";"(Ref: 671776)";"Mainstays";"Piso de Baño Antideslizante ( Varios Colores)";"1 Un";"$2.990"
"227";"(Ref: 650483)";"Haus";"Piso Baño Blanco";"1 Un";"$2.990"
"228";"(Ref: 650315)";"Mainstays";"Toalla de Mano Spa Menta";"";"$2.990"
"229";"(Ref: 650330)";"Mainstays";"Toalla de Mano Zero Blanca";"";"$2.990"
"230";"(Ref: 670427)";"Haus Kids";"Cortina Peva Kids ( Varios Diseños)";"1 Un";"$2.990"
"231";"(Ref: 670224)";"Haus";"Set Baño Adulto ( Varios Colores)";"1 Un";"$2.990"
"232";"(Ref: 650331)";"Mainstays";"Toalla de Mano Zero Gris";"";"$2.990"
"233";"(Ref: 650487)";"Haus";"Piso Baño Sandia";"1 Un";"$2.990"
"234";"(Ref: 259151)";"Virutex";"Sopapo Baño Clásico";"";"$3.950"
"235";"(Ref: 668820)";"Mainstays";"Piso Pompom Spa Grafito";"1 Un";"$3.990"
"236";"(Ref: 668806)";"Mainstays";"Basurero Cromado Cobre";"1 Un";"$3.990"
"237";"(Ref: 668817)";"Mainstays";"Piso Pompom Spa Menta";"1 Un";"$3.990"
"238";"(Ref: 667058)";"Haus";"Set Cortina Peva + Ganchos( Varios Diseños)";"1 Un";"$3.990"
"239";"(Ref: 668816)";"Mainstays";"Piso Pompom Spa Blanco";"1 Un";"$3.990"
"240";"(Ref: 671775)";"Mainstays";"Dispensador Cobre";"1 Un";"$3.990"
"241";"(Ref: 668821)";"Mainstays";"Piso Pompom Spa Rosa";"1 Un";"$3.990"
"242";"(Ref: 668818)";"Mainstays";"Piso Pompom Spa Azul";"1 Un";"$3.990"
"243";"(Ref: 669519)";"Mainstays";"Basurero Cromado";"1 Un";"$3.990"
"244";"(Ref: 670228)";"Mainstays";"Set Cerámica Cobre";"1 Un";"$3.990"
"245";"(Ref: 670222)";"Mainstays";"Set Ceramica Blanco";"1 Un";"$3.990"
"246";"(Ref: 670223)";"Mainstays";"Set Baño Ceramica ( Varios Colores)";"1 Un";"$3.990"
"247";"(Ref: 668819)";"Mainstays";"Piso Pompom Spa Gris";"1 Un";"$3.990"
"248";"(Ref: 383847)";"Haus";"Basurero con Tapa 32 L RED";"";"$3.990"
"249";"(Ref: 585423)";"Haus";"Toalla Baño Gris";"1 Un";"$3.992"
"250";"(Ref: 491039)";"Haus";"Toalla de Baño Lima";"";"$3.992"
"251";"(Ref: 585421)";"Haus";"Toalla Baño Morada";"";"$3.992"
"252";"(Ref: 475516)";"Haus";"Toalla de Baño Amarilla";"";"$3.992"
"253";"(Ref: 475515)";"Haus";"Toalla de Baño Azul";"";"$3.992"
"254";"(Ref: 585422)";"Haus";"Toalla Baño Turquesa";"";"$3.992"
"255";"(Ref: 475517)";"Haus";"Toalla de Baño Blanca";"";"$3.992"
"256";"(Ref: 491040)";"Haus";"Toalla de Baño Sandía";"";"$3.992"
"257";"(Ref: 671773)";"Mainstays";"Set Vidrio Vintage";"1 Un";"$4.990"
"258";"(Ref: 670425)";"Mainstays";"Cortina Poliester ( Varios Diseños)";"1 Un";"$4.990"
"259";"(Ref: 544029)";"Kendy";"Papelero Pedal 10 Lts";"";"$4.990"
"260";"(Ref: 475521)";"Haus";"Toalla Baño Ivory";"";"$4.990"
"261";"(Ref: 585416)";"Haus";"Toalla Sabana Azul";"1 Un";"$5.592"
"262";"(Ref: 491049)";"Haus";"Toalla Sábana Lima";"";"$5.592"
"263";"(Ref: 475544)";"Haus";"Toalla Sábana Blanca";"";"$5.592"
"264";"(Ref: 475547)";"Haus";"Toalla Sábana Amarilla";"";"$5.592"
"265";"(Ref: 585418)";"Haus";"Toalla Sábana Turquesa";"";"$5.592"
"266";"(Ref: 585417)";"Haus";"Toalla Sábana Morada";"";"$5.592"
"267";"(Ref: 491051)";"Haus";"Toalla Sábana Sandía";"";"$5.592"
"268";"(Ref: 475545)";"Haus";"Toalla Sábana Porcelana";"";"$5.592"
"269";"(Ref: 650329)";"Mainstays";"Toalla de Baño Zero Menta";"";"$6.990"
"270";"(Ref: 475552)";"Haus";"Toalla Sabana Ivory";"";"$6.990"
"271";"(Ref: 650313)";"Mainstays";"Toalla de Baño Spa Grafito";"";"$6.990"
"272";"(Ref: 650310)";"Mainstays";"Toalla de Baño Spa Rosa";"";"$6.990"
